"","negative","positive"
"444","failure suspected","pressure dropped"
"445","unresolved","band slippage"
"446","not meet animas criteria","performed lead"
"447","details bard reported","legal"
"448","reported insulation compromised","effusion"
"449","reported patients blood","sustained"
"450","animas criteria","vns stimulation"
"451","potential","hospitalized due"
"452","quality bone","planned no patient complications"
"453","customers blood glucose not","candidate"
"454","grater","system malfunction"
"455","bard reported","integrate"
"456","dl troubleshooting tandem technical","infections"
"457","alternate system","plate broke"
"458","leaked","treat"
"459","effect patient","apparent explant damage"
"460","within 10 minutes","remove"
"461","explanted devices","nonroutine"
"462","investigation returned","osseointegration"
"463","contributed adverse event","tooth"
"464","excursion not meet","detached portion"
"465","surgical intervention not","no product"
"466","urgent medical","recover"
"467","bristles","sjm"
"468","defective","surgery time"
"469","programmer","deceased no"
"470","reported device thoroughly","clinic notes"
"471","product returned evaluation new","electrical reset"
"472","no plans","reported infection"
"473","not contribute","appear match"
"474","thresholds lead remains","438"
"475","leads remain use","committed"
"476","full revision surgery","postoperatively"
"477","detached syringe","430 mg dl"
"478","lead remains use no","conductors broken"
"479","reported device thoroughly inspected","skin"
"480","contributed adverse","outer insulation"
"481","not implanted no","major pump"
"482","contributed serious injury","revision occurred"
"483","patient turned","detached balloon"
"484","interventions","nonunion"
"485","no tissue damage","osseointegrate"
"486","medical intervention injuries","burn"
"487","contacted dexcom","relationship"
"488","use following","27 mmol"
"489","event deemed reportable","receiver not"
"490","reported hyperglycemia","remove detached"
"491","adverse patient consequences","inherent risk procedure death"
"492","complaint reported alleged","incident conclusion"
"493","thresholds lead remains use","no osseointegration"
"494","balloon iab","risk procedure death"
"495","dl troubleshooting tandem","massive"
"496","explanted unknown","available time report no"
"497","160 mg dl","experienced hypoglycemia"
"498","device remains use","central station"
"499","3889","stabilize"
"500","no adverse event alleged","stent deployed"
"501","contact patient no","sapien"
"502","device analysis revealed","blood glucose customer reported"
"503","suspected not","patient underwent"
"504","165 mg","additional patient consequences reported"
"505","via phone call insulin","patient expired no"
"506","mg dl reportedly customer","glucose customer reported"
"507","broke","proximal segment lead"
"508","found reported implant","according reporter"
"509","exchanged no patient","death pt"
"510","not use patient time","injection reportedly"
"511","prior patient","cpr"
"512","adverse pt","heal"
"513","unrelated procedure","430 mg"
"514","180 mg","no patient event information"
"515","no indication patient","remains patient"
"516","controller remains","consciousness"
"517","no delay","report no indication"
"518","treatment associated event","mentor"
"519","138 mg dl","drop blood pressure"
"520","fse replaced","911"
"521","reported","reported patient revision"
"522","procedure completed","dysphagia"
"523","138 mg","remains patient no"
"524","device explanted 2011","revision procedure performed"
"525","failure suspected not","apnea"
"526","decided not","septic"
"527","awaiting explant","no device issue"
"528","vad remains use no","cardiac event expired"
"529","mistreatment","pt"
"530","sensor expired","device returned manufacturer analyzed"
"531","used instead","vf"
"532","lost loss","manual compression"
"533","device failure suspected not","pt revised"
"534","rust","lead reinserted"
"535","urgent medical device","time extended"
"536","flared","third degree"
"537","reported requested","customer elevated blood glucose"
"538","injury change","remains customer site"
"539","discrepant","additional patient consequences"
"540","like device","delivered inappropriate"
"541","transmitter","samples lot"
"542","expiration","glucose bg"
"543","stent damaged","hallucinations"
"544","dl currently","pending evaluation"
"545","information provided initial","customer elevated blood"
"546","allegations device","procedure death"
"547","no medical intervention required","surgically removed"
"548","report injury medical","no product malfunction"
"549","phone call insulin","lasik"
"550","reported requested return","paramedics called"
"551","strips expired","asystolic"
"552","remote monitor","reported device explanted due"
"553","breathing circuit","mg dl treated"
"554","not cause","additional"
"555","meter caused contributed","24 mmol"
"556","complainant not","per information provided"
"557","insulation compromised","manipulation anesthesia"
"558","exchanged no patient complications","400 mg"
"559","explanted na","note not"
"560","postpaced","vessel"
"561","reported dental implant placed","programmed lead"
"562","reported impact","customer elevated"
"563","165 mg dl","extracted"
"564","also reported patient","reported pt"
"565","event deemed","lead reconnected"
"566","glucose value unknown","bg level"
"567","qn","not returned"
"568","technician found","artery"
"569","controller remains use","received inappropriate"
"570","mg dl currently","no code"
"571","experienced increase","hematoma"
"572","particular","prismaflex"
"573","accuchek","laboratory patient"
"574","upon revision","indicated pt"
"575","blood glucose value unknown","philips"
"576","no action","implant procedure patient"
"577","mmdg","report received"
"578","noncardiac","case aborted"
"579","crew","right heart"
"580","contributed patients death","ruptured aneurysm"
"581","loan","customer patient"
"582","reports adverse","mobility"
"583","al published","480 mg"
"584","reported controller","480 mg dl"
"585","not patient time","cause patients"
"586","adverse event complaint","literature"
"587","exhaustion","remaining capacity device explanted"
"588","150 mg dl","converted"
"589","sent pt","inappropriate high"
"590","200 mg","nail broken"
"591","positions","resulted"
"592","peeling","tass"
"593","not implanted no patient","capacity device explanted"
"594","changeout","aorta"
"595","no unanticipated tissue loss","device explanted returned"
"596","replacement recommended device remains","filed appropriate reported patient"
"597","not report","400 mg dl time"
"598","forward firing","no additional patient consequences"
"599","confirmed event","patient harm associated"
"600","patient mri","vad"
"601","may lead","rupture"
"602","leads remain use no","abandoned"
"603","level not","lasting"
"604","cardiac monitor icm","life support"
"605","harmed","dislodgment"
"606","results generated","used correct"
"607","events alleged","lab work"
"608","reported inclusive","reported device removed"
"609","no patient present","caused injury"
"610","lead used","tracheostomy"
"611","glucose insulin pump not","injured"
"612","wherein ipg replaced","revision performed"
"613","200 mg dl","grafted"
"614","injury reported","attorney alleged"
"615","175 mg dl","tamponade"
"616","inclusive","csf leak"
"617","id 3057","remains customer"
"618","service","died due"
"619","phone call insulin pump","funeral home"
"620","patient told","stoma"
"621","140 mg","appropriate reported patient"
"622","malfunction suspected","revision procedure lead"
"623","due high thresholds","removed 2019"
"624","report injury medical intervention","product malfunction"
"625","monitor icm","still investigation"
"626","analysis insulin pump passed","paralyzed"
"627","140 mg dl","addressed manual"
"628","product id 3057","reimplanted"
"629","complaint identified","explanted replaced"
"630","pump remains use no","retrieve"
"631","change patient treatment","failed due"
"632","issue","500mg dl"
"633","meter caused","successfully repositioned"
"634","leakage","reintubated"
"635","wear tear","diabetes"
"636","procedure balloon rupture occurred","autopsy not"
"637","failure suspected not cause","mastitis"
"638","cause contribute","bg"
"639","128 mg","reopened"
"640","pump system check","inappropriate high voltage"
"641","implant attempt lead","product one event death"
"642","mg dl troubleshooting tandem","sepsis"
"643","info received indicates","patient effect death"
"644","remains implanted","40 minutes"
"645","reported customer 2010","500 mg"
"646","patient impacts","plaintiffs"
"647","marketed","418"
"648","not serious","coumadin dose"
"649","resolved troubleshooting no","arrest"
"650","complaint reported reported issue","expired due"
"651","testing per","funeral"
"652","unknown time incident","corneal burn"
"653","not resolved troubleshooting no","device behavior"
"654","vad remains use","recommended device explanted"
"655","t1","removed snare"
"656","no plan","low bg"
"657","adverse patient consequences reported","glare"
"658","patient death serious","narcan"
"659","case no patient","emergency"
"660","mdr report not approved","extension replaced"
"661","received result","inappropriate hv"
"662","adverse event resulted","product id"
"663","160 mg","pt found"
"664","event could not confirmed","emptying"
"665","128 mg dl","vessel wall"
"666","implant attempt","dl customer"
"667","device sample not","coma"
"668","infection associated report","indications surgery"
"669","volumetric","another ventilator"
"670","120 mg dl","secondary procedure"
"671","120 mg","perforation occurred"
"672","wherein leads","removed information"
"673","3057","malfunction serious injury"
"674","medical device reported","patient received inappropriate"
"675","patient effect no","broken needle"
"676","healthcare facility","completed using alternate"
"677","reported programmer","implant failed due"
"678","call insulin","bleed"
"679","updated time additional information","separated portion"
"680","patient injury evaluation","customers blood glucose 500"
"681","allegedly received implant","nail broke"
"682","intervention adverse","additional adverse patient effects"
"683","tip metal","dl"
"684","device never","system replaced"
"685","implantable cardiac monitor icm","open surgery"
"686","balloons","effect death"
"687","por condition","recall issue"
"688","consequences conclusion","reoperated"
"689","not lock","3rd degree"
"690","kinked","lead perforated"
"691","patient effects no","removed"
"692","followup medwatch submitted additional","2010 pt reported"
"693","information received patient underwent","replaced"
"694","ventilator not patient time","void"
"695","ipg remains","value not"
"696","outside","prostate procedure"
"697","via infusion","no device"
"698","patient death serious injury","capped replaced no patient"
"699","time unknown","post lasik"
"700","due reported malfunction zoll","peritonitis"
"701","contribute patient","package insert"
"702","updated time additional","coronary sinus"
"703","no report adverse","hyperglycemia"
"704","et al published","blood patch"
"705","switching","inactivated"
"706","slider","admitted"
"707","event confirmed","using snare"
"708","event complaint","lead programmed"
"709","time incident unknown","ldh"
"710","would monitored","atty"
"711","medical surgical","device explanted"
"712","implanted due","stuck lesion"
"713","electronic module","administered"
"714","reagent lot","one event death"
"715","test failed","commanded"
"716","reported ventilator","low blood glucose"
"717","patient death injury","utis"
"718","attempted right","no patient event"
"719","implant helix","patient revision"
"720","mount","600 mg"
"721","event patient outcome","not returned evaluation new"
"722","result reported event","rhbmp2"
"723","indicate adverse effect","pt death"
"724","vitros","remove broken"
"725","effects no","death requested not"
"726","225 mg dl","completed lead"
"727","incident unknown","event deemed serious injury"
"728","225 mg","erosion"
"729","lifeband","corevalve"
"730","vns lead","adverse event"
"731","infrarenal","found unresponsive"
"732","balloon deflation","dislodged stent"
"733","patient not suffer","diagnosed"
"734","reported reported issue not","explanted no"
"735","intraaortic balloon iab","epinephrine"
"736","involved report","planned not"
"737","injury evaluation","paralysis"
"738","report received alleges","retrieved snare"
"739","empty pump","bled"
"740","immediate load not performed","date death unknown"
"741","recall number","current patient"
"742","asymptomatic","removed due"
"743","effects reported device thoroughly","catheterize"
"744","not suffer","implant failed"
"745","no patients","2010 patient reported"
"746","175 mg","prescribed"
"747","load not performed","reported revision"
"748","failed","deemed serious injury"
"749","flaps","harm associated"
"750","150 mg","sensitivity"
"751","cause malfunction","inappropriate therapies"
"752","product recall","capsular"
"753","not extended","procedure abandoned"
"754","found no issues reported","asystole"
"755","123 mg","stitches"
"756","adverse events alleged","medivators"
"757","without issue harm","400 mg dl troubleshooting"
"758","injury complaint reported","replaced 2017"
"759","snare loop","reported hospitalized"
"760","event reported malfunction","customer hospitalized"
"761","not implanted replaced","detect"
"762","no adverse consequence","dura"
"763","report not approved","report received patient"
"764","not indicate adverse effect","nonintegration"
"765","however complaint reported alleged","labeling review performed no"
"766","indicate adverse","reprogramming done"
"767","injuries reported","capped"
"768","account alleged","report user"
"769","surgery patient reimplanted","glidelight"
"770","inventory","400mg"
"771","no reported injury patient","additional procedure"
"772","pt involved","customers blood glucose 600"
"773","complainant not indicate adverse","capsule tear"
"774","no adverse events alleged","catheter revision"
"775","customer reported system","reported patient effect"
"776","pt investigation","explant"
"777","130 mg","ketones"
"778","unknown time incident customer","snare"
"779","adverse patient effect no","autopsy performed"
"780","expiration date","epg"
"781","requested unknown","high blood glucose"
"782","report advise","experienced hyperglycemia"
"783","necessitate","paramedics"
"784","safety valve","system explanted"
"785","summary analysis found","reported patient found"
"786","complaint reported malfunction","manually ventilated"
"787","management reported","600 mg dl"
"788","prophylactic antibiotics","vitrectomy performed"
"789","127 mg dl","infection no"
"790","not lead","subsequently"
"791","returned biotronik","thrombosis"
"792","complete procedure","death not provided"
"793","not reported customer","incision"
"794","lead remains use","system removed"
"795","strike","labeling review performed"
"796","valve placed","hypoglycemic"
"797","130 mg dl","436"
"798","kinking","snaring"
"799","patient results","lead capped"
"800","available according","pocket"
"801","consequences","relocated"
"802","evaluation summary analysis found","customers blood glucose 400"
"803","harm medical intervention","replaced 2019"
"804","attempted not","achieved manual"
"805","no serious injury","lead repositioned"
"806","also indicated patient","integration"
"807","pt contact","500 mg dl"
"808","balloon ruptured","dissection occurred"
"809","released laboratory no","customer reported hospitalized"
"810","submitted device received reported","embolism"
"811","device sample","implant removed"
"812","no reports death","per clinic"
"813","tracked trended","replaced 2014"
"814","ipg charging","receiving inappropriate"
"815","127 mg","due"
"816","device not use","primary stability"
"817","form 3500a","hospital"
"818","due battery depletion","family"
"819","123 mg dl","reprogramming performed"
"820","apoc","supplemental medwatch submitted additional"
"821","no adverse patient effect","death requested"
"822","reportable based","posterior capsule"
"823","clinically significant no","patient"
"824","catheter entrapment","bleeding"
"825","exemption number e2016032","reprogrammed lead remains"
"826","number e2016032","retrieved using"
"827","physiocontrol evaluated","nonrechargeable"
"828","dl reportedly customer reverted","ventilator no"
"829","not patient use","lead sensitivity"
"830","attempt lead","customers blood glucose reading"
"831","intraop","thrombus"
"832","explanted explanted returned","stroke"
"833","programming history","replacement recommended device explanted"
"834","thermogard","performed lead remains"
"835","drifting","pump not explanted"
"836","pt samples","reported customer patient"
"837","following fall","capped replaced"
"838","expiry date","replaced 2018"
"839","resulted event","addressed"
"840","no physiological effects","obtains"
"841","e2016032","enlarged"
"842","complete treatment","electrode array"
"843","activator","per complaint"
"844","resheathed","no additional adverse"
"845","call insulin pump","detachment occurred"
"846","information available event","complainant indicated"
"847","114 mg","developed"
"848","issue harm","400mg dl"
"849","additional patient event information","patient found"
"850","power cord","reprogrammed remains use"
"851","procedure procedure","caused"
"852","patient interface","patient became"
"853","split","lead reprogramming"
"854","harm medical","death unknown"
"855","seconds asystole","additional adverse"
"856","update 2013","expired day"
"857","186 mg dl","patient experienced"
"858","212 mg dl","time contact"
"859","underwent full","performed"
"860","reagent","customer hospital"
"861","no symptoms","nonosseointegration observed"
"862","unknown procedure","shivering"
"863","adaptive stimulation","reported customer hospitalized"
"864","release catheter","overdosed"
"865","follow healthcare","cpr initiated"
"866","controller remains use no","blood glucose level impacted"
"867","189 mg","glucose level impacted"
"868","patient monitoring","replaced 2015"
"869","170 mg","bladder infection"
"870","suture breakage","required"
"871","explanation","passing away"
"872","114 mg dl","endophthalmitis"
"873","load performed","position 2018"
"874","potential cause contribute","burns"
"875","insert trial","fetal"
"876","patient remote","hemorrhagic"
"877","criteria reported via","cancelled no"
"878","time hospitalization","no reported malfunction"
"879","reported issues insulin","ketoacidosis"
"880","delivery system removed","perforated"
"881","186 mg","urinate"
"882","complete procedure no adverse","customer passed"
